capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,date_diff_days
500107862016,0,100.0,0.0,100.0,1324.0,100.0,9.0,100.0,0.0,100.0,0.0,45.0,22342.0,100.0,0.0,100.0,9.0,100.0,0.0,100.0,1221.0,100.0,28.0,100.0,0.0,100.0,0.0,200.0,0.0,74
4000787030016,0,119.0,232585512.0,92.0,0.0,100.0,10.0,100.0,0.0,85.0,381519406.0,68.0,28349.0,100.0,0.0,100.0,10.0,100.0,0.0,97.0,7809.0,19.0,19.0,100.0,8.0,100.0,8.0,200.0,0.0,78
12000138625024,0,83.0,181730064.0,97.0,0.0,100.0,3.0,100.0,0.0,79.0,77342659.0,91.0,8312.0,100.0,0.0,100.0,2.0,100.0,136.0,100.0,609.0,24.0,24.0,100.0,0.0,100.0,0.0,200.0,0.0,40
12000138625024,0,81.0,114568192.0,94.0,0.0,100.0,5.0,100.0,128.0,69.0,7184938.0,90.0,9227.0,100.0,0.0,100.0,4.0,100.0,88.0,100.0,1468.0,42.0,42.0,100.0,0.0,100.0,0.0,200.0,0.0,77
4000787030016,0,100.0,0.0,240.0,364.0,100.0,61.0,100.0,0.0,100.0,0.0,97.0,22349.0,95.0,65536.0,100.0,10.0,100.0,212.0,100.0,212.0,253.0,23.0,100.0,0.0,100.0,0.0,200.0,0.0,80
12000138625024,0,78.0,68817520.0,98.0,0.0,100.0,2.0,96.0,18536.0,86.0,367632526.0,89.0,10329.0,100.0,0.0,100.0,1.0,100.0,117.0,100.0,515.0,24.0,24.0,100.0,0.0,100.0,0.0,200.0,0.0,45
8001563222016,0,72.0,14550592.0,99.0,0.0,100.0,1.0,100.0,8.0,95.0,3446137639.0,86.0,13066.0,100.0,0.0,100.0,1.0,100.0,59.0,98.0,4658.0,42.0,42.0,100.0,0.0,100.0,0.0,200.0,0.0,21
4000787030016,0,106.0,11613224.0,91.0,0.0,100.0,23.0,100.0,0.0,80.0,107335031.0,67.0,29656.0,100.0,0.0,100.0,23.0,100.0,0.0,1.0,205115.0,23.0,23.0,100.0,0.0,100.0,0.0,200.0,0.0,53
12000138625024,0,82.0,174088320.0,95.0,0.0,100.0,4.0,100.0,0.0,83.0,217901903.0,89.0,10480.0,100.0,0.0,100.0,3.0,100.0,122.0,100.0,1554.0,26.0,26.0,100.0,0.0,100.0,0.0,200.0,0.0,54
8001563222016,0,82.0,143069072.0,98.0,0.0,100.0,1.0,100.0,0.0,80.0,92818275.0,100.0,387.0,100.0,0.0,100.0,1.0,100.0,0.0,100.0,188.0,34.0,34.0,100.0,0.0,100.0,0.0,200.0,0.0,82
500107862016,0,100.0,0.0,100.0,1366.0,100.0,7.0,100.0,0.0,100.0,0.0,59.0,16783.0,100.0,0.0,100.0,7.0,100.0,0.0,100.0,1529.0,100.0,33.0,100.0,0.0,100.0,0.0,200.0,0.0,13
500107862016,0,100.0,0.0,100.0,1985.0,100.0,5.0,100.0,0.0,100.0,0.0,71.0,11649.0,100.0,0.0,100.0,5.0,100.0,0.0,100.0,522.0,100.0,31.0,100.0,0.0,100.0,0.0,200.0,0.0,84
8001563222016,0,76.0,37034992.0,97.0,0.0,100.0,2.0,100.0,0.0,92.0,1629749641.0,93.0,6457.0,100.0,0.0,100.0,2.0,100.0,0.0,95.0,11295.0,33.0,33.0,100.0,40.0,100.0,40.0,200.0,0.0,33
12000138625024,0,80.0,91995048.0,97.0,0.0,100.0,3.0,100.0,1128.0,80.0,112012349.0,91.0,8312.0,100.0,0.0,100.0,2.0,100.0,98.0,100.0,598.0,25.0,25.0,100.0,0.0,100.0,0.0,200.0,0.0,41
12000138625024,0,82.0,174812784.0,97.0,0.0,100.0,3.0,100.0,296.0,84.0,279702596.0,89.0,10488.0,100.0,0.0,100.0,2.0,100.0,122.0,100.0,1504.0,21.0,21.0,100.0,0.0,100.0,0.0,200.0,0.0,1
8001563222016,0,54.0,191168752.0,99.0,0.0,100.0,1.0,100.0,0.0,88.0,568589843.0,95.0,4909.0,100.0,0.0,100.0,1.0,100.0,94.0,100.0,1306.0,34.0,34.0,100.0,0.0,100.0,0.0,200.0,0.0,2
12000138625024,0,73.0,19626192.0,94.0,0.0,100.0,5.0,100.0,0.0,88.0,611434437.0,94.0,5691.0,100.0,0.0,100.0,5.0,100.0,80.0,100.0,659.0,33.0,33.0,100.0,32.0,100.0,32.0,200.0,0.0,14
4000787030016,0,116.0,112901336.0,93.0,0.0,100.0,16.0,100.0,0.0,83.0,227540904.0,59.0,36387.0,100.0,0.0,100.0,16.0,100.0,1.0,32.0,137632.0,26.0,26.0,100.0,160.0,100.0,160.0,200.0,0.0,62
12000138625024,0,81.0,124440960.0,96.0,0.0,100.0,4.0,100.0,0.0,85.0,353384252.0,89.0,10330.0,100.0,0.0,100.0,3.0,100.0,131.0,100.0,522.0,28.0,28.0,100.0,0.0,100.0,0.0,200.0,0.0,60
12000138625024,0,82.0,144133520.0,99.0,0.0,100.0,1.0,100.0,0.0,75.0,30494320.0,100.0,418.0,100.0,0.0,100.0,1.0,100.0,2.0,100.0,227.0,31.0,31.0,100.0,0.0,100.0,0.0,200.0,0.0,56
12000138625024,0,74.0,22579648.0,99.0,0.0,100.0,1.0,100.0,0.0,77.0,50763741.0,100.0,777.0,100.0,0.0,100.0,1.0,100.0,12.0,100.0,341.0,38.0,38.0,100.0,0.0,100.0,0.0,200.0,0.0,66
8001563222016,0,83.0,220646856.0,92.0,0.0,100.0,4.0,100.0,0.0,95.0,3148494674.0,85.0,13881.0,100.0,0.0,100.0,4.0,100.0,0.0,92.0,16737.0,28.0,28.0,100.0,0.0,100.0,0.0,200.0,0.0,49
4000787030016,0,119.0,215850712.0,92.0,0.0,100.0,10.0,100.0,0.0,84.0,299212093.0,60.0,35133.0,100.0,0.0,100.0,10.0,100.0,1.0,88.0,24237.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0,27
